# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
multi_normal_prec_log;(row_vectors y, vectors mu, matrix Omega);real;405
multi_normal_prec_log;(vectors y, row_vectors mu, matrix Omega);real;405
multi_normal_prec_log;(vectors y, vectors mu, matrix Omega);real;405
multi_normal_rng;(vector mu, matrix Sigma);vector;405
multi_student_t;~;real;408
multi_student_t_log;(row_vectors y, real nu, row_vectors mu, matrix Sigma);real;409
multi_student_t_log;(row_vectors y, real nu, vectors mu, matrix Sigma);real;409
multi_student_t_log;(vectors y, real nu, row_vectors mu, matrix Sigma);real;408
multi_student_t_log;(vectors y, real nu, vectors mu, matrix Sigma);real;408
multi_student_t_rng;(real nu, vector mu, matrix Sigma);vector;409
multinomial;~;real;377
multinomial_log;(int[] y, vector theta);real;377
multinomial_rng;(vector theta, int N);vector;377
multiply_log;(real x, real y);real;331
multiply_lower_tri_self_transpose;(matrix x);matrix;347
neg_binomial;~;real;372
neg_binomial_2;~;real;373
neg_binomial_2_ccdf_log;(ints n, reals mu, reals phi);real;374
neg_binomial_2_cdf;(ints n, reals mu, reals phi);real;374
neg_binomial_2_cdf_log;(ints n, reals mu, reals phi);real;374
neg_binomial_2_log;(ints y, reals mu, reals phi);real;373
neg_binomial_2_log;~;real;374
neg_binomial_2_log_log;(ints y, reals eta, reals phi);real;374
neg_binomial_2_log_rng;(real eta, real phi);int;375
neg_binomial_2_rng;(real mu, real phi);int;374
neg_binomial_ccdf_log;(ints n, reals alpha, reals beta);real;373
neg_binomial_cdf;(ints n, reals alpha, reals beta);real;372
neg_binomial_cdf_log;(ints n, reals alpha, reals beta);real;372
neg_binomial_log;(ints n, reals alpha, reals beta);real;372
neg_binomial_rng;(real alpha, real beta);int;373
negative_infinity;();real;311
normal;~;real;379
normal_ccdf_log;(reals y, reals mu, reals sigma);real;379
normal_cdf;(reals y, reals mu, reals sigma);real;379
normal_cdf_log;(reals y, reals mu, reals sigma);real;379
normal_log;(reals y, reals mu, reals sigma);real;379
normal_rng;(real mu, real sigma);real;379
not_a_number;();real;311
num_elements;(T[] x);int;336
num_elements;(matrix x);int;340
num_elements;(row_vector x);int;340
num_elements;(vector x);int;340
operator!;(int x);int;314
operator!;(real x);int;314
operator!=;(int x, int y);int;313
operator!=;(real x, real y);int;314
operator&&;(int x, int y);int;314
operator&&;(real x, real y);int;314
operator';(matrix x);matrix;344
operator';(row_vector x);vector;344
operator';(vector x);row_vector;344
operator*;(int x, int y);int;309
operator*;(matrix x, matrix y);matrix;342
