# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=3
# stan_version_patch=0
# model=bernoulli_model
# data=bernoulli.data.R
# init=random initialization
# append_samples=0
# save_warmup=0
# seed=2488311526
# chain_id=1
# iter=2000
# warmup=1000
# thin=1
# nondiag_mass=0
# equal_step_sizes=0
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
# algorithm=NUTS with a diagonal Euclidean metric
#
lp__,accept_stat__,stepsize__,treedepth__,theta
# Adaptation terminated
# Step size = 2.05813
# Diagonal elements of inverse mass matrix:
# 0.502697
-6.81314,0.929624,2.05813,0,0.206795
-6.81314,0.0453272,2.05813,0,0.206795
-6.81314,0.0938685,2.05813,0,0.206795
-7.23546,0.568059,2.05813,0,0.384521
-7.23546,0.903997,2.05813,0,0.384521
-7.66041,0.311489,2.05813,1,0.43773
-6.97783,1,2.05813,0,0.172249
-6.97783,0.0987502,2.05813,0,0.172249
-6.97783,4.27614e-08,2.05813,0,0.172249
-6.97783,4.58038e-06,2.05813,0,0.172249
-6.97783,0.464186,2.05813,0,0.172249
-6.79371,1,2.05813,0,0.288989
-6.74803,1,2.05813,0,0.249443
-6.74803,0.703456,2.05813,0,0.249443
-6.74803,0.249116,2.05813,0,0.249443
-8.36135,0.26236,2.05813,0,0.0787957
-6.75336,1,2.05813,0,0.237234
-6.77291,0.978135,2.05813,0,0.222826
-7.28846,0.619008,2.05813,0,0.137081
-7.28846,0.00013182,2.05813,0,0.137081
-7.28846,0.483108,2.05813,0,0.137081
-6.78027,1,2.05813,0,0.282602
-6.78027,0.179298,2.05813,0,0.282602
-6.78027,0.0492027,2.05813,0,0.282602
-6.78027,0.352711,2.05813,0,0.282602
-6.78027,0.14217,2.05813,0,0.282602
-7.5026,0.49138,2.05813,0,0.120591
-7.125,1,2.05813,0,0.153161
-7.2074,0.935495,2.05813,0,0.144564
-7.27951,0.94567,2.05813,0,0.137867
-7.27951,0.324037,2.05813,0,0.137867
-7.27951,0.658818,2.05813,0,0.137867
-6.74899,1,2.05813,0,0.255532
-6.74899,0.856345,2.05813,0,0.255532
-6.74899,0.000688514,2.05813,0,0.255532
-7.68358,0.42409,2.05813,0,0.10925
-7.68358,0.000170195,2.05813,0,0.10925
-9.58542,0.424584,2.05813,0,0.0473817
-11.0496,0.716733,2.05813,0,0.0273212
-7.63604,1,2.05813,0,0.435049
-7.48415,0.828409,2.05813,1,0.417488
-6.77533,1,2.05813,0,0.27994
-6.77533,0.0955181,2.05813,0,0.27994
-6.77533,0.491267,2.05813,0,0.27994
-6.77533,0.0257427,2.05813,0,0.27994
-6.75747,1,2.05813,0,0.267443
-6.75747,1.83608e-06,2.05813,0,0.267443
-7.07519,0.646288,2.05813,0,0.358887
-6.83653,1,2.05813,0,0.200021
-6.75019,1,2.05813,0,0.258293
-6.75019,0.000219728,2.05813,0,0.258293
-6.75019,0.0717618,2.05813,0,0.258293
-8.54614,0.226429,2.05813,0,0.0726179
-6.7508,1,2.05813,0,0.259388
-6.74992,1,2.05813,0,0.257758
-6.74992,0.0726795,2.05813,0,0.257758
-6.74992,0.00192711,2.05813,0,0.257758
-6.74992,2.70337e-06,2.05813,0,0.257758
-6.74992,0.125437,2.05813,0,0.257758
-6.74992,9.06695e-09,2.05813,0,0.257758
-6.86761,0.857542,2.05813,0,0.314174
-6.86761,1.99403e-09,2.05813,0,0.314174
-6.86761,0.0711577,2.05813,0,0.314174
-6.86761,0.780144,2.05813,0,0.314174
-6.86761,0.000589916,2.05813,0,0.314174
-6.86761,0.0861484,2.05813,0,0.314174
-7.11825,0.763508,2.05813,0,0.153919
-7.11825,0.00893552,2.05813,0,0.153919
-6.91422,1,2.05813,0,0.182932
-7.35531,0.689801,2.05813,0,0.131486
-8.98924,0.102824,2.05813,0,0.550629
-8.98924,0.243929,2.05813,0,0.550629
-8.98924,0.000375718,2.05813,0,0.550629
-8.98924,0.380271,2.05813,0,0.550629
-8.98924,1,2.05813,0,0.550629
-7.32412,1,2.05813,0,0.134038
-7.32412,9.32931e-09,2.05813,0,0.134038
-6.74862,1,2.05813,0,0.245706
-7.26099,0.607088,2.05813,0,0.139524
