# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta_adagrad = 0.5
#     tol_rel_obj = 0.014999999999999999
#     eval_elbo = 10
#     output_samples = 1000 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_mf.csv
#   diagnostic_file = elbo_mf.csv
#   refresh = 100 (Default)
lp__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-17785.6,0.37315,0.356775,0.270075,17.1234,-8.10888,-2.1174,17.116,4.94435,-15.6242,19.2716,9.32215,17.9969,12.4755,6.8006,16.3124
-17857.5,0.37698,0.354988,0.268032,15.8964,-8.25439,-3.9969,17.8018,5.06251,-15.5446,19.9822,9.39087,18.0821,12.5306,7.14502,16.7544
-17862.1,0.375571,0.356428,0.268001,14.3826,-6.53181,-6.08276,16.5823,5.09115,-17.6934,19.9562,8.50235,18.1452,12.429,6.93682,17.1879
-17880.7,0.373805,0.358067,0.268128,16.3554,-8.44352,-6.6989,16.8282,5.25173,-16.6031,20.353,8.89568,17.5557,12.5432,7.35373,16.8926
-17796.6,0.373417,0.357492,0.269091,15.1961,-7.46926,-2.12107,15.6623,5.06908,-16.3802,18.5807,9.57169,17.9802,12.5073,7.19041,16.7986
-17811.3,0.376644,0.354702,0.268654,16.5397,-6.64634,-4.53358,15.948,4.92494,-16.1245,18.9292,9.10039,18.0252,12.3537,7.17751,16.4585
-17873.4,0.375659,0.357063,0.267277,15.2884,-7.53693,-5.58019,16.5723,5.10547,-14.4988,19.7924,9.18324,18.3477,12.4734,7.04709,17.0818
-17857.5,0.373643,0.357054,0.269303,16.9432,-6.82004,-3.17525,14.902,4.84496,-16.6761,20.4463,9.93878,18.6173,12.5496,7.4603,16.3793
-17830.7,0.37433,0.358662,0.267008,17.8116,-6.40382,-1.2306,15.9589,5.0072,-15.7636,18.9896,9.38851,17.8787,12.1974,7.01754,16.5622
-17819.2,0.375974,0.357463,0.266563,15.2807,-6.59814,-5.32308,16.391,5.21124,-16.3675,18.3207,8.92967,18.0573,12.5571,7.15123,16.5734
