# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_nuts.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-50109.8,0.705728,0.0171034,7,127,0,0.336135,0.334382,0.329483,-6.66915,-3.90761,17.026,4.51896,-16.4242,18.5797,9.47937,15.4256,12.8291,4.60877,12.554,13.6779
-50112.1,0.969578,0.0141856,4,15,0,0.336799,0.336699,0.326502,-6.71934,-3.85676,17.0288,4.49054,-16.3514,18.6396,9.59372,13.8056,12.0549,5.07158,11.9533,13.0533
-50110.9,0.136973,0.0225531,7,91,0,0.336385,0.33789,0.325725,-7.18832,-3.46519,15.0201,4.73191,-15.2758,18.4414,9.05615,14.5062,12.5692,4.08433,12.2755,13.0998
-50110.6,0.966965,0.00467261,9,511,0,0.33309,0.333257,0.333653,-7.54522,-3.76293,15.9189,4.64703,-18.2388,18.1796,9.63008,14.2916,12.552,5.02531,11.682,14.0284
-50111.8,0.931901,0.00738805,9,511,0,0.330702,0.342659,0.32664,-7.40724,-2.48759,14.6002,4.65957,-15.5249,18.816,9.29677,14.2223,12.9791,4.37719,12.4112,12.6444
-50109,0.996569,0.010666,8,255,0,0.334224,0.340346,0.325429,-7.19414,-2.0275,15.8682,4.09471,-16.2634,19.0241,9.57912,14.3093,12.2842,4.8176,12.1392,13.105
-50108.4,0.947446,0.0178766,7,127,0,0.337445,0.334213,0.328342,-7.26538,-3.53441,16.2469,4.7587,-15.6633,18.7582,9.57853,13.8724,12.3045,4.74603,12.1705,13.3477
-50107.4,0.26874,0.0264735,3,5,0,0.339596,0.331748,0.328656,-7.23974,-3.5005,16.2163,4.68593,-15.7262,18.7271,9.6358,15.0211,12.5703,4.65751,12.3128,13.3821
-50107.3,0.995327,0.00787438,6,55,0,0.331918,0.341499,0.326583,-7.21917,-3.50263,16.2244,4.58839,-15.7386,18.7446,9.26503,14.8323,12.6826,4.83757,12.7764,13.3511
-50108.9,0.935518,0.013042,8,255,0,0.340697,0.334239,0.325064,-6.90627,-3.01969,17.4263,4.42784,-15.5589,19.7308,9.51601,15.0663,12.8586,4.4859,12.4864,13.0637
-50105.6,0.918533,0.0186676,7,127,0,0.334779,0.337837,0.327384,-7.70366,-3.65634,15.6216,4.41894,-17.1298,18.373,9.39365,15.1581,12.7629,4.45088,12.0962,13.4521
-50105.6,0.0173186,0.0255668,3,5,0,0.334779,0.337837,0.327384,-7.70366,-3.65634,15.6216,4.41894,-17.1298,18.373,9.39365,15.1581,12.7629,4.45088,12.0962,13.4521
-50108.3,0.962162,0.00440193,6,47,0,0.331229,0.334376,0.334395,-7.70163,-3.64655,15.6057,4.40931,-17.1275,18.3843,9.52289,15.0207,12.9209,4.42911,12.3666,13.6813
-50107.4,0.9997,0.00669154,8,191,0,0.330789,0.335037,0.334174,-7.41501,-3.34124,15.8115,4.35387,-16.1691,18.1866,9.16368,14.3546,13.0851,4.32887,12.145,13.251
-50105.3,0.948882,0.0110155,7,127,0,0.330089,0.340587,0.329324,-7.38762,-3.40218,15.636,4.37466,-16.4603,18.0079,9.34421,14.5054,12.925,4.52319,12.2258,13.6547
-50106,0.891592,0.0160683,4,15,0,0.331112,0.334125,0.334763,-7.44386,-3.42298,15.6846,4.3557,-16.5004,18.0216,9.58756,14.6468,12.9172,4.54886,12.346,13.4315
